"ID","URL","Image","Title","Description","Price","Currency","custom_label_0"
"1c-procurement-ai-automation","https://ai-tehcon.ru/catalog/1c-procurement-ai-automation/","https://ai-tehcon.ru/images/optimized/1c-procurement-ai-automation-w768.webp","Автоматизация блока закупок с помощью ИИ на примере 1С:УТ","ИИ-агент сравнивает тендерные предложения поставщиков из Excel и почты, выбирает лучшие условия и автоматически создает заказы поставщику в 1С:УТ. Стоимость от 30 000 ₽/мес.","30000","RUB","Автоматизация"
"1c-daily-deviation-reports","https://ai-tehcon.ru/catalog/1c-daily-deviation-reports/","https://ai-tehcon.ru/images/optimized/1c-daily-deviation-reports-w768.webp","Автоматические ежедневные отчеты 1С с поиском отклонений","ИИ-агент каждое утро читает данные 1С, собирает управленческий отчет и подсвечивает отклонения по продажам, марже, остаткам, заказам и оплатам. Стоимость от 10 000 ₽/мес.","10000","RUB","Автоматизация"
"1c-competitor-price-analysis","https://ai-tehcon.ru/catalog/1c-competitor-price-analysis/","https://ai-tehcon.ru/images/optimized/1c-competitor-price-analysis-w768.webp","Автоматический анализ цен конкурентов с данными 1С","ИИ-агент находит сайты конкурентов в вашем регионе, сверяет цены на товары и услуги с номенклатурой 1С и показывает отчет по отклонениям. Стоимость от 20 000 ₽/мес.","20000","RUB","Автоматизация"
"1c-marketplace-procurement-assistant","https://ai-tehcon.ru/catalog/1c-marketplace-procurement-assistant/","https://ai-tehcon.ru/images/optimized/1c-marketplace-procurement-assistant-w768.webp","Помощь в закупке товаров 1С через Ozon, Wildberries и Яндекс Маркет","ИИ-агент берет заказ клиента из 1С, ищет товары на маркетплейсах, выбирает выгодное предложение и создает заказ поставщику. Стоимость от 20 000 ₽/мес.","20000","RUB","Автоматизация"
"1c-production-quality-defects-assistant","https://ai-tehcon.ru/catalog/1c-production-quality-defects-assistant/","https://ai-tehcon.ru/images/optimized/1c-production-quality-defects-assistant-w768.webp","Помощник по браку и качеству на производстве в программах 1С","ИИ-агент собирает рекламации, акты брака и причины списаний из 1С, находит повторяющиеся проблемы и показывает, где теряется качество. Стоимость от 30 000 ₽/мес.","30000","RUB","Автоматизация"
"1c-material-consumption-norms-analysis","https://ai-tehcon.ru/catalog/1c-material-consumption-norms-analysis/","https://ai-tehcon.ru/images/optimized/1c-material-consumption-norms-analysis-w768.webp","Анализ норм списания материалов в производстве в программах 1С","ИИ сравнивает фактический расход сырья с нормативами из спецификаций 1С и показывает, где возник перерасход: партия, смена, участок, оператор или оборудование. Стоимость от 30 000 ₽/мес.","30000","RUB","Автоматизация"
"1c-seo-blog-automation","https://ai-tehcon.ru/catalog/1c-seo-blog-automation/","https://ai-tehcon.ru/images/optimized/1C_news-w768.webp","ИИ-редактор и SEO-автоматизация блога для 1С-интегратора","Автономный агент, который мониторит законодательство и релизы 1С, пишет экспертные статьи и автоматически публикует их на сайте, генерируя бесплатный SEO-трафик. Стоимость от 5 000 ₽/мес.","5000","RUB","Маркетинг"
"1c-smart-document-scan-check","https://ai-tehcon.ru/catalog/1c-smart-document-scan-check/","https://ai-tehcon.ru/images/optimized/1c-smart-document-scan-check-w768.webp","Умная проверка сканов документов в 1С","ИИ считывает сканы актов, накладных и кадровых документов, сверяет их с данными 1С и сразу показывает отсутствующие подписи, суммы и другие расхождения. Стоимость от 30 000 ₽/мес.","30000","RUB","Автоматизация"
"1c-smart-trip-sheet-check","https://ai-tehcon.ru/catalog/1c-smart-trip-sheet-check/","https://ai-tehcon.ru/images/optimized/1c-smart-trip-sheet-check-w768.webp","Умная проверка путевых листов в 1С","ИИ проверяет сканы путевых листов, извлекает данные о рейсе и отмечает незаполненные поля, отсутствующие подписи и подозрительные значения пробега. Стоимость от 20 000 ₽/мес.","20000","RUB","Автоматизация"
"1c-hr-document-check","https://ai-tehcon.ru/catalog/1c-hr-document-check/","https://ai-tehcon.ru/images/optimized/1c-hr-document-check-w768.webp","Проверка кадровых документов в 1С","ИИ проверяет заявления, приказы, табели, согласия и личные карточки: заполненность полей, подписи и соответствие дат и ФИО данным сотрудника в 1С. Стоимость от 25 000 ₽/мес.","25000","RUB","Автоматизация"
"1c-medical-exam-check","https://ai-tehcon.ru/catalog/1c-medical-exam-check/","https://ai-tehcon.ru/images/optimized/1c-medical-exam-check-w768.webp","Контроль заполнения медосмотров в 1С","ИИ проверяет журналы предрейсовых и предсменных медосмотров: время, результат, подпись медика и соответствие сменам, а при пропуске создаёт уведомление. Стоимость от 25 000 ₽/мес.","25000","RUB","Автоматизация"
"1c-ai-warehouse-inventory","https://ai-tehcon.ru/catalog/1c-ai-warehouse-inventory/","https://ai-tehcon.ru/images/optimized/1c-ai-warehouse-inventory-w768.webp","ИИ-инвентаризация адресного ордерного склада в 1С с Excel и ТСД","ИИ объединяет данные 1С, Excel и ТСД, сверяет остатки по адресным ячейкам, находит вероятную пересортицу и готовит предложения по пересчёту и перемещению. Стоимость от 25 000 ₽/мес.","25000","RUB","Автоматизация"
"1c-sales-forecasting-service","https://ai-tehcon.ru/catalog/1c-sales-forecasting-service/","https://ai-tehcon.ru/images/optimized/1c-sales-forecasting-service-w768.webp","1С сервис прогнозирования продаж","ИИ ежедневно анализирует историю продаж, остатки, заказы, сезонность, цены и промоакции в 1С, чтобы строить прогноз спроса по товарам, складам и сегментам клиентов на 7, 30 и 90 дней. Стоимость от 10 000 ₽/мес.","10000","RUB","Автоматизация"
"1c-accounts-receivable-ai-analysis","https://ai-tehcon.ru/catalog/1c-accounts-receivable-ai-analysis/","https://ai-tehcon.ru/images/optimized/1c-accounts-receivable-ai-analysis-w768.webp","ИИ-анализ дебиторской задолженности","ИИ ежедневно анализирует взаиморасчеты в 1С, находит риск просрочки по контрагентам и счетам, объясняет причины и формирует приоритетную очередь для финансовой службы и менеджеров. Стоимость от 12 000 ₽/мес.","12000","RUB","Аналитика"
"1c-inventory-turnover-ai-control","https://ai-tehcon.ru/catalog/1c-inventory-turnover-ai-control/","https://ai-tehcon.ru/images/optimized/1c-inventory-turnover-ai-control-w768.webp","ИИ-Контроль оборачиваемости запасов","ИИ ежедневно анализирует остатки, движение товаров, продажи и закупки в 1С, находит медленно оборачиваемые запасы и предлагает действия до того, как деньги надолго замораживаются на складе. Стоимость от 12 000 ₽/мес.","12000","RUB","Аналитика"
"1c-sales-manager-effectiveness-ai-analysis","https://ai-tehcon.ru/catalog/1c-sales-manager-effectiveness-ai-analysis/","https://ai-tehcon.ru/images/optimized/1c-sales-manager-effectiveness-ai-analysis-w768.webp","ИИ-анализ эффективности менеджеров по продажам","ИИ анализирует данные 1С о продажах, заказах, клиентах, скидках и марже, чтобы показать сильные стороны менеджеров, точки потери сделок и действия для выполнения плана. Стоимость от 12 000 ₽/мес.","12000","RUB","Аналитика"
"1c-project-order-profitability-ai-analytics","https://ai-tehcon.ru/catalog/1c-project-order-profitability-ai-analytics/","https://ai-tehcon.ru/images/optimized/1c-project-order-profitability-ai-analytics-w768.webp","ИИ-Аналитика прибыльности проектов и заказов","ИИ собирает выручку, себестоимость, трудозатраты, закупки и косвенные расходы из 1С, чтобы показать реальную прибыльность каждого проекта и заказа до закрытия периода. Стоимость от 12 000 ₽/мес.","12000","RUB","Аналитика"
"1c-ad-campaigns-ai-analyst","https://ai-tehcon.ru/catalog/1c-ad-campaigns-ai-analyst/","https://ai-tehcon.ru/images/optimized/1c-ad-campaigns-ai-analyst-w768.webp","ИИ-аналитик рекламных кампаний","ИИ объединяет расходы и показатели рекламных кампаний с заказами и выручкой из 1С, чтобы показать реальную окупаемость каналов и вовремя выявить неэффективный бюджет. Стоимость от 5 000 ₽/мес.","5000","RUB","Маркетинг"
"ai-ad-lead-qualification","https://ai-tehcon.ru/catalog/ai-ad-lead-qualification/","https://ai-tehcon.ru/images/optimized/ai-ad-lead-qualification-w768.webp","Автоматическая квалификация заявок из рекламы","ИИ принимает заявки из рекламных каналов, проверяет данные и контекст, оценивает готовность к покупке и сразу передает приоритетные обращения в отдел продаж. Стоимость от 8 000 ₽/мес.","8000","RUB","Маркетинг"
"ai-yandex-direct-keyword-research","https://ai-tehcon.ru/catalog/ai-yandex-direct-keyword-research/","https://ai-tehcon.ru/images/optimized/ai-yandex-direct-keyword-research-w768.webp","ИИ-подбор ключевых слов для Яндекс Директа","ИИ собирает и кластеризует поисковые запросы, определяет коммерческое намерение, предлагает минус-слова и структуру кампаний для запуска рекламы в Яндекс Директе. Стоимость от 30 000 ₽ за услугу.","30000","RUB","Маркетинг"
"ai-lead-call-chat-analysis","https://ai-tehcon.ru/catalog/ai-lead-call-chat-analysis/","https://ai-tehcon.ru/images/optimized/ai-lead-call-chat-analysis-w768.webp","ИИ-разбор звонков и переписок с лидами","ИИ расшифровывает звонки и анализирует переписки с лидами, находит потребности и возражения, оценивает качество работы менеджера и предлагает следующий шаг для сделки. Стоимость от 12 000 ₽/мес.","12000","RUB","Маркетинг"
"ai-competitor-search-ad-monitoring","https://ai-tehcon.ru/catalog/ai-competitor-search-ad-monitoring/","https://ai-tehcon.ru/images/optimized/ai-competitor-search-ad-monitoring-w768.webp","Мониторинг конкурентов в рекламе и поиске","ИИ регулярно отслеживает поисковую выдачу и рекламные объявления конкурентов, фиксирует изменения в офферах, позициях и посадочных страницах и отправляет команде понятные сигналы. Стоимость от 12 000 ₽/мес.","12000","RUB","Маркетинг"
"telegram-lead-magnet-funnel","https://ai-tehcon.ru/catalog/telegram-lead-magnet-funnel/","https://ai-tehcon.ru/images/optimized/voronka-w768.webp","Умная Telegram-воронка с проверкой подписки (Lead Magnet Bot)","Автоматизированная система, которая конвертирует холодный трафик из Reels/Shorts в целевых подписчиков вашего канала, выдавая бонус только после проверки подписки. Стоимость от 5 000 ₽/мес.","5000","RUB","Маркетинг"
"marketplace-automatic-review-replies","https://ai-tehcon.ru/catalog/marketplace-automatic-review-replies/","https://ai-tehcon.ru/images/optimized/marketplace-auto-review-replies-w768.webp","Автоматический ответ на отзывы","Сервис отвечает на отзывы о товарах, услугах и магазине на WB, Ozon, Яндекс Маркете и Авито по вашим правилам, в заданное время и с передачей сложных ситуаций сотруднику. Стоимость от 10 000 ₽/мес.","10000","RUB","Маркетплейс"
"marketplace-order-cancellation-control","https://ai-tehcon.ru/catalog/marketplace-order-cancellation-control/","https://ai-tehcon.ru/images/optimized/marketplace-order-cancellation-control-w768.webp","Контроль выкупа и отмен заказов по SKU","Сервис выявляет товары с ростом отмен, невыкупа и возвратов на WB, Ozon, Яндекс Маркете и Авито, чтобы команда быстрее находила причину и не теряла продажи. Стоимость от 12 000 ₽/мес.","12000","RUB","Маркетплейс"
"yandex-zen-rss-autopublish","https://ai-tehcon.ru/catalog/yandex-zen-rss-autopublish/","https://ai-tehcon.ru/images/optimized/yandex-zen-rss-autopublish-w768.webp","Автоматическая публикация в Яндекс Дзен","Сервис забирает новые статьи из RSS-ленты вашего сайта, портала или CMS и автоматически публикует их в Яндекс Дзен по заданным правилам. Стоимость от 10 000 ₽/мес.","10000","RUB","Автоматизация"
"instagram-ai-content-manager","https://ai-tehcon.ru/catalog/instagram-ai-content-manager/","https://ai-tehcon.ru/images/optimized/instagram-ai-content-manager-w768.webp","ИИ‑контент‑менеджер для Instagram","ИИ‑система превращает новости, товары и экспертные материалы из CMS в согласованные посты, Stories и Reels‑сценарии для Instagram, помогает отвечать аудитории и показывает, какие темы дают результат. Стоимость от 30 000 ₽/мес.","30000","RUB","Маркетинг"
"ai-visual-quality-control","https://ai-tehcon.ru/catalog/ai-visual-quality-control/","https://ai-tehcon.ru/images/optimized/ai-visual-quality-control-w768.webp","ИИ‑контроль качества по фото","Система анализирует фото товаров, упаковки и работ: находит дефекты, сверяет комплектность, проверяет маркировку и передаёт проблемные случаи сотруднику до отгрузки или сдачи работ. Стоимость от 40 000 ₽/мес.","40000","RUB","Анализ изображений"
"ai-content-factory-telegram-channel","https://ai-tehcon.ru/catalog/ai-content-factory-telegram-channel/","https://ai-tehcon.ru/images/optimized/content-factory-telegram-w768.webp","ИИ-фабрика контента для Telegram-канала","Создаёт план, посты, обложки и очередь публикаций для регулярного Telegram-канала. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"expert-blog-content-plan-autoposting","https://ai-tehcon.ru/catalog/expert-blog-content-plan-autoposting/","https://ai-tehcon.ru/images/optimized/content-factory-blog-w768.webp","Контент-план и автопостинг для экспертного блога","Собирает темы, готовит статьи и управляет их публикацией в экспертном блоге. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"ai-corporate-site-article-editor","https://ai-tehcon.ru/catalog/ai-corporate-site-article-editor/","https://ai-tehcon.ru/images/optimized/content-factory-site-editor-w768.webp","ИИ-редактор статей для корпоративного сайта","Редактирует корпоративные статьи, проверяет структуру, фактуру и соответствие стилю бренда. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"ai-reels-shorts-scenarios-agent","https://ai-tehcon.ru/catalog/ai-reels-shorts-scenarios-agent/","https://ai-tehcon.ru/images/optimized/content-factory-video-w768.webp","ИИ-агент для создания Reels, Shorts и сценариев","Превращает экспертизу и длинные материалы в сценарии коротких вертикальных видео. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"marketplace-product-cards-autogeneration","https://ai-tehcon.ru/catalog/marketplace-product-cards-autogeneration/","https://ai-tehcon.ru/images/optimized/content-factory-marketplace-w768.webp","Автогенерация карточек товаров для маркетплейсов","Готовит описания, характеристики и контент для карточек товаров из данных каталога. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"ai-email-copywriter","https://ai-tehcon.ru/catalog/ai-email-copywriter/","https://ai-tehcon.ru/images/optimized/content-factory-email-w768.webp","ИИ-копирайтер для email-рассылок","Создаёт сегментированные письма, темы и цепочки коммуникаций для email-рассылок. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"ai-knowledge-base-editor","https://ai-tehcon.ru/catalog/ai-knowledge-base-editor/","https://ai-tehcon.ru/images/optimized/content-factory-knowledge-w768.webp","ИИ-редактор базы знаний и инструкций","Актуализирует инструкции, превращает разрозненные знания команды в понятную базу. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"webinar-to-posts-and-articles","https://ai-tehcon.ru/catalog/webinar-to-posts-and-articles/","https://ai-tehcon.ru/images/optimized/content-factory-webinar-w768.webp","ИИ-система для переработки вебинаров в посты и статьи","Извлекает из вебинаров темы, цитаты и готовые материалы для блога и соцсетей. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"content-agent-cases-reviews-proposals","https://ai-tehcon.ru/catalog/content-agent-cases-reviews-proposals/","https://ai-tehcon.ru/images/optimized/content-factory-cases-w768.webp","Контент-агент для кейсов, отзывов и коммерческих предложений","Упаковывает результаты проектов в кейсы, отзывы и материалы для отдела продаж. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"ai-seo-articles-query-clusters","https://ai-tehcon.ru/catalog/ai-seo-articles-query-clusters/","https://ai-tehcon.ru/images/optimized/content-factory-seo-w768.webp","ИИ-агент для SEO-статей и кластеров запросов","Кластеризует запросы, планирует SEO-материалы и создаёт черновики статей с фактурой. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"vk-telegram-content-automation","https://ai-tehcon.ru/catalog/vk-telegram-content-automation/","https://ai-tehcon.ru/images/optimized/content-factory-social-w768.webp","Автоматизация контента для VK и Telegram","Адаптирует материалы под VK и Telegram, ведёт очередь публикаций и собирает результаты. Стоимость от 10 000 ₽/мес.","10000","RUB","Контент завод"
"ai-cfo-assistant","https://ai-tehcon.ru/catalog/ai-cfo-assistant/","https://ai-tehcon.ru/images/optimized/finance-cfo-assistant-w768.webp","ИИ-ассистент финансового директора","Собирает управленческие показатели, объясняет отклонения и готовит сводку для финансового директора. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"automated-payment-calendar-control","https://ai-tehcon.ru/catalog/automated-payment-calendar-control/","https://ai-tehcon.ru/images/optimized/finance-payment-calendar-w768.webp","Автоматический контроль платежного календаря","Контролирует плановые платежи, остатки и приоритеты, предупреждая о риске нехватки денег. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-cashflow-forecast","https://ai-tehcon.ru/catalog/ai-cashflow-forecast/","https://ai-tehcon.ru/images/optimized/finance-cashflow-forecast-w768.webp","ИИ-прогноз денежных потоков","Строит прогноз поступлений и выплат, учитывая историю оплат, заказы и сезонность. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"smart-bank-reconciliation","https://ai-tehcon.ru/catalog/smart-bank-reconciliation/","https://ai-tehcon.ru/images/optimized/finance-bank-reconciliation-w768.webp","Умная сверка банковских выписок и платежей","Сопоставляет банковские операции с платежами, счетами и контрагентами, выделяя исключения. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-receivables-control","https://ai-tehcon.ru/catalog/ai-receivables-control/","https://ai-tehcon.ru/images/optimized/finance-receivables-w768.webp","ИИ-контроль дебиторской задолженности","Выявляет риск просрочки, формирует очередь работы с дебиторами и объясняет причины. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-client-payment-reminders","https://ai-tehcon.ru/catalog/ai-client-payment-reminders/","https://ai-tehcon.ru/images/optimized/finance-payment-reminders-w768.webp","Автоматизация напоминаний клиентам об оплате","Отправляет корректные напоминания об оплате и передаёт сложные случаи менеджеру. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-customer-project-profitability","https://ai-tehcon.ru/catalog/ai-customer-project-profitability/","https://ai-tehcon.ru/images/optimized/finance-profitability-w768.webp","ИИ-анализ прибыльности клиентов и проектов","Показывает фактическую маржинальность клиентов и проектов с учётом всех прямых и косвенных затрат. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-financial-plan-fact-analysis","https://ai-tehcon.ru/catalog/ai-financial-plan-fact-analysis/","https://ai-tehcon.ru/images/optimized/finance-plan-fact-w768.webp","Финансовый план-факт анализ с ИИ","Сравнивает бюджет с фактом, объясняет отклонения и формирует задачи для владельцев статей. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-cash-gap-monitoring","https://ai-tehcon.ru/catalog/ai-cash-gap-monitoring/","https://ai-tehcon.ru/images/optimized/finance-cash-gap-w768.webp","ИИ-мониторинг кассовых разрывов","Рано замечает риск кассового разрыва и моделирует варианты его предотвращения. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"automatic-invoice-document-check","https://ai-tehcon.ru/catalog/automatic-invoice-document-check/","https://ai-tehcon.ru/images/optimized/finance-invoice-check-w768.webp","Автоматическая проверка счетов и первичных документов","Проверяет реквизиты, суммы, договорные условия и комплектность первичных документов. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-budgeting-assistant","https://ai-tehcon.ru/catalog/ai-budgeting-assistant/","https://ai-tehcon.ru/images/optimized/finance-budgeting-w768.webp","ИИ-помощник для бюджетирования","Помогает собирать бюджеты подразделений, проверять допущения и согласовывать версии. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-expense-limit-control","https://ai-tehcon.ru/catalog/ai-expense-limit-control/","https://ai-tehcon.ru/images/optimized/finance-spending-limits-w768.webp","Контроль расходов и лимитов с ИИ","Проверяет расходы против лимитов, бюджетов и правил компании, направляя исключения на согласование. Стоимость от 10 000 ₽/мес.","10000","RUB","Финансы"
"ai-wb-ozon-product-listing-optimization","https://ai-tehcon.ru/catalog/ai-wb-ozon-product-listing-optimization/","https://ai-tehcon.ru/images/optimized/ecom-listings-w768.webp","ИИ-оптимизация карточек товаров для Wildberries и Ozon","Контент-менеджер получает очередь SKU, где слабая карточка уже мешает конверсии, и готовые рекомендации по её исправлению. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"competitor-price-promotion-monitoring","https://ai-tehcon.ru/catalog/competitor-price-promotion-monitoring/","https://ai-tehcon.ru/images/optimized/ecom-competitor-prices-w768.webp","Автоматический мониторинг цен и акций конкурентов","Категорийный менеджер видит только значимые изменения цен и промо по приоритетным SKU, а не проверяет конкурентов вручную. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"ai-marketplace-demand-forecast","https://ai-tehcon.ru/catalog/ai-marketplace-demand-forecast/","https://ai-tehcon.ru/images/optimized/ecom-demand-w768.webp","ИИ-прогноз спроса и планирование поставок на маркетплейсы","Логист получает прогноз спроса по SKU и складам, чтобы заказать товар до сезонного пика, а не после дефицита. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"inventory-replenishment-recommendations","https://ai-tehcon.ru/catalog/inventory-replenishment-recommendations/","https://ai-tehcon.ru/images/optimized/ecom-inventory-w768.webp","Контроль остатков и рекомендации по пополнению","Менеджер по запасам получает список SKU с риском дефицита раньше, чем товар теряет продажи и позицию в выдаче. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"ai-reviews-returns-analysis","https://ai-tehcon.ru/catalog/ai-reviews-returns-analysis/","https://ai-tehcon.ru/images/optimized/ecom-reviews-w768.webp","ИИ-анализ отзывов покупателей и причин возвратов","Продакт-менеджер видит повторяющиеся причины возвратов и отзывов, чтобы исправить товар или карточку до роста негатива. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"buyer-review-question-automation","https://ai-tehcon.ru/catalog/buyer-review-question-automation/","https://ai-tehcon.ru/images/optimized/ecom-answers-w768.webp","Автоматизация ответов на отзывы и вопросы покупателей","Оператор поддержки получает готовые ответы на типовые вопросы и подключается только к обращениям, где нужен человек. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"marketplace-niche-discovery","https://ai-tehcon.ru/catalog/marketplace-niche-discovery/","https://ai-tehcon.ru/images/optimized/ecom-niches-w768.webp","Поиск перспективных товарных ниш для маркетплейсов","Руководитель e-commerce сравнивает спрос, конкуренцию и экономику ниш до закупки, а не инвестирует в категорию вслепую. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"ai-wb-ozon-ad-campaign-control","https://ai-tehcon.ru/catalog/ai-wb-ozon-ad-campaign-control/","https://ai-tehcon.ru/images/optimized/ecom-ads-w768.webp","ИИ-контроль рекламных кампаний WB и Ozon","Маркетолог получает короткий список кампаний, где расходы перестали окупаться, и начинает разбор с них. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"marketplace-report-1c-reconciliation","https://ai-tehcon.ru/catalog/marketplace-report-1c-reconciliation/","https://ai-tehcon.ru/images/optimized/ecom-1c-w768.webp","Автоматическая сверка отчётов маркетплейсов с 1С","Бухгалтер получает только расхождения между отчётами площадок и 1С, чтобы быстрее закрывать период и не сверять всё вручную. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"ai-pricing-discount-assistant","https://ai-tehcon.ru/catalog/ai-pricing-discount-assistant/","https://ai-tehcon.ru/images/optimized/ecom-pricing-w768.webp","ИИ-ассистент по ценообразованию и скидкам","Категорийный менеджер оценивает маржу и риск убыточности до запуска скидки или акции, а не по её итогам. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
"inventory-turnover-dead-stock-control","https://ai-tehcon.ru/catalog/inventory-turnover-dead-stock-control/","https://ai-tehcon.ru/images/optimized/ecom-turnover-w768.webp","Контроль оборачиваемости и неликвидных остатков","Менеджер по запасам видит товары с медленной продажей и получает варианты действий до того, как деньги надолго замораживаются в остатках. Стоимость от 15 000 ₽/мес.","15000","RUB","Маркетплейс"
